0->,Freq:5000MHz,,dBm:10,,Reading:8.1174dB,,LowLimit:0.7741,,HighLimit:1.7741,,CableLoss:1.2172,,Result:Pass,,TestTime:3306ms
1->,Freq:5050MHz,,dBm:10,,Reading:8.1806dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.1307,,Result:Pass,,TestTime:3328ms
2->,Freq:5100MHz,,dBm:10,,Reading:8.1467dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.1440,,Result:Pass,,TestTime:3342ms
3->,Freq:5150MHz,,dBm:10,,Reading:8.1200dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.2201,,Result:Pass,,TestTime:3363ms
4->,Freq:5200MHz,,dBm:10,,Reading:8.1824dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.0481,,Result:Pass,,TestTime:3332ms
5->,Freq:5250MHz,,dBm:10,,Reading:8.0339dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.3563,,Result:Pass,,TestTime:3338ms
6->,Freq:5300MHz,,dBm:10,,Reading:8.1959dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.0245,,Result:Pass,,TestTime:3329ms
7->,Freq:5350MHz,,dBm:10,,Reading:8.0498dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.3107,,Result:Pass,,TestTime:3324ms
8->,Freq:5400MHz,,dBm:10,,Reading:8.1570dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.1131,,Result:Pass,,TestTime:3320ms
9->,Freq:5450MHz,,dBm:10,,Reading:8.1773dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.1732,,Result:Pass,,TestTime:3316ms
10->,Freq:5500MHz,,dBm:10,,Reading:8.0600dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.2801,,Result:Pass,,TestTime:3341ms
11->,Freq:5550MHz,,dBm:10,,Reading:8.2044dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.0758,,Result:Pass,,TestTime:3320ms
12->,Freq:5600MHz,,dBm:10,,Reading:8.0552dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.3851,,Result:Pass,,TestTime:3330ms
13->,Freq:5650MHz,,dBm:10,,Reading:8.1930dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.0872,,Result:Pass,,TestTime:3311ms
14->,Freq:5700MHz,,dBm:10,,Reading:8.0710dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.2891,,Result:Pass,,TestTime:3337ms
15->,Freq:5750MHz,,dBm:10,,Reading:8.0479dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.2621,,Result:Pass,,TestTime:3338ms
16->,Freq:5800MHz,,dBm:10,,Reading:8.0480dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.1420,,Result:Pass,,TestTime:3332ms
17->,Freq:5850MHz,,dBm:10,,Reading:7.8169dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.4528,,Result:Pass,,TestTime:3339ms
18->,Freq:5900MHz,,dBm:10,,Reading:8.0288dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.0911,,Result:Pass,,TestTime:3329ms
19->,Freq:5950MHz,,dBm:10,,Reading:7.8204dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.5197,,Result:Pass,,TestTime:3329ms
20->,Freq:6000MHz,,dBm:10,,Reading:8.0657dB,,LowLimit:0.973,,HighLimit:1.973,,CableLoss:1.1444,,Result:Pass,,TestTime:3314ms
