0->,Freq:500MHz,,dBm:10,,Reading:0.3723dB,,LowLimit:9.1,,HighLimit:10.9,,CableLoss:9.4129,,Result:Pass,,TestTime:3293ms
1->,Freq:550MHz,,dBm:10,,Reading:0.2717dB,,LowLimit:9.26,,HighLimit:11.06,,CableLoss:9.4897,,Result:Pass,,TestTime:3288ms
2->,Freq:600MHz,,dBm:10,,Reading:0.2652dB,,LowLimit:9.26,,HighLimit:11.06,,CableLoss:9.4949,,Result:Pass,,TestTime:3322ms
3->,Freq:650MHz,,dBm:10,,Reading:0.2040dB,,LowLimit:9.26,,HighLimit:11.06,,CableLoss:9.5160,,Result:Pass,,TestTime:3307ms
4->,Freq:700MHz,,dBm:10,,Reading:0.2721dB,,LowLimit:9.26,,HighLimit:11.06,,CableLoss:9.4880,,Result:Pass,,TestTime:3324ms
5->,Freq:750MHz,,dBm:10,,Reading:0.1963dB,,LowLimit:9.26,,HighLimit:11.06,,CableLoss:9.5742,,Result:Pass,,TestTime:3288ms
6->,Freq:800MHz,,dBm:10,,Reading:0.1867dB,,LowLimit:9.26,,HighLimit:11.06,,CableLoss:9.5236,,Result:Pass,,TestTime:3320ms
7->,Freq:850MHz,,dBm:10,,Reading:0.0576dB,,LowLimit:9.26,,HighLimit:11.06,,CableLoss:9.7320,,Result:Pass,,TestTime:3257ms
8->,Freq:900MHz,,dBm:10,,Reading:0.1590dB,,LowLimit:9.26,,HighLimit:11.06,,CableLoss:9.5710,,Result:Pass,,TestTime:3283ms
9->,Freq:950MHz,,dBm:10,,Reading:0.2262dB,,LowLimit:9.26,,HighLimit:11.06,,CableLoss:9.5644,,Result:Pass,,TestTime:3314ms
10->,Freq:1000MHz,,dBm:10,,Reading:0.0776dB,,LowLimit:9.26,,HighLimit:11.06,,CableLoss:9.6634,,Result:Pass,,TestTime:3271ms
11->,Freq:1050MHz,,dBm:10,,Reading:0.0415dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.7584,,Result:Pass,,TestTime:3291ms
12->,Freq:1100MHz,,dBm:10,,Reading:0.1585dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.5412,,Result:Pass,,TestTime:3265ms
13->,Freq:1150MHz,,dBm:10,,Reading:0.1296dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.6212,,Result:Pass,,TestTime:3292ms
14->,Freq:1200MHz,,dBm:10,,Reading:0.1483dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.6122,,Result:Pass,,TestTime:3274ms
15->,Freq:1250MHz,,dBm:10,,Reading:0.0624dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.6179,,Result:Pass,,TestTime:3308ms
16->,Freq:1300MHz,,dBm:10,,Reading:-0.1319dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.8615,,Result:Pass,,TestTime:3297ms
17->,Freq:1350MHz,,dBm:10,,Reading:0.0136dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.6067,,Result:Pass,,TestTime:3300ms
18->,Freq:1400MHz,,dBm:10,,Reading:-0.0989dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.7992,,Result:Pass,,TestTime:3259ms
19->,Freq:1450MHz,,dBm:10,,Reading:-0.0482dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.6683,,Result:Pass,,TestTime:3317ms
20->,Freq:1500MHz,,dBm:10,,Reading:-0.0412dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.6704,,Result:Pass,,TestTime:3284ms
21->,Freq:1550MHz,,dBm:10,,Reading:-0.0835dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.7631,,Result:Pass,,TestTime:3284ms
22->,Freq:1600MHz,,dBm:10,,Reading:-0.0654dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.7354,,Result:Pass,,TestTime:3283ms
23->,Freq:1650MHz,,dBm:10,,Reading:-0.0587dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.7188,,Result:Pass,,TestTime:3341ms
24->,Freq:1700MHz,,dBm:10,,Reading:-0.1526dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.7727,,Result:Pass,,TestTime:3260ms
25->,Freq:1750MHz,,dBm:10,,Reading:-0.1470dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.8078,,Result:Pass,,TestTime:3309ms
26->,Freq:1800MHz,,dBm:10,,Reading:-0.3317dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.8515,,Result:Pass,,TestTime:3294ms
27->,Freq:1850MHz,,dBm:10,,Reading:-0.1838dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.7436,,Result:Pass,,TestTime:3288ms
28->,Freq:1900MHz,,dBm:10,,Reading:-0.2500dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.7493,,Result:Pass,,TestTime:3294ms
29->,Freq:1950MHz,,dBm:10,,Reading:-0.2519dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.7826,,Result:Pass,,TestTime:3274ms
30->,Freq:2000MHz,,dBm:10,,Reading:-0.2686dB,,LowLimit:9.52,,HighLimit:11.32,,CableLoss:9.8986,,Result:Pass,,TestTime:3337ms
31->,Freq:2050MHz,,dBm:10,,Reading:-0.2490dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:9.8697,,Result:Pass,,TestTime:3307ms
