0->,Freq:500MHz,,dBm:10,,Reading:3.3319dB,,LowLimit:5.97,,HighLimit:6.97,,CableLoss:6.4529,,Result:Pass,,TestTime:3304ms
1->,Freq:550MHz,,dBm:10,,Reading:3.1718dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.5899,,Result:Pass,,TestTime:3304ms
2->,Freq:600MHz,,dBm:10,,Reading:3.2209dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.5393,,Result:Pass,,TestTime:3281ms
3->,Freq:650MHz,,dBm:10,,Reading:3.0268dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.6931,,Result:Pass,,TestTime:3280ms
4->,Freq:700MHz,,dBm:10,,Reading:3.1907dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.5692,,Result:Pass,,TestTime:3285ms
5->,Freq:750MHz,,dBm:10,,Reading:3.2532dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.5170,,Result:Pass,,TestTime:3285ms
6->,Freq:800MHz,,dBm:10,,Reading:3.2579dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.4523,,Result:Pass,,TestTime:3321ms
7->,Freq:850MHz,,dBm:10,,Reading:3.1312dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.6591,,Result:Pass,,TestTime:3283ms
8->,Freq:900MHz,,dBm:10,,Reading:3.2704dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.4596,,Result:Pass,,TestTime:3292ms
9->,Freq:950MHz,,dBm:10,,Reading:2.9695dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.8206,,Result:Pass,,TestTime:3271ms
10->,Freq:1000MHz,,dBm:10,,Reading:3.2134dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.5274,,Result:Pass,,TestTime:3283ms
11->,Freq:1050MHz,,dBm:10,,Reading:2.9888dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.8119,,Result:Pass,,TestTime:3316ms
12->,Freq:1100MHz,,dBm:10,,Reading:3.2177dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.4825,,Result:Pass,,TestTime:3287ms
